ガス名,略名/化学式,化学式・別名,LEL(vol%),分子量,比重
"1,2-ジクロロエタン",EDC,C2H4Cl2,6.2,98.97,1.28
OK73シンナー,OK-73,C6H1203,2.3,99.77,0.94
PGMME,C4H10O2,プロピレングリコールモノメチルエーテル,1.6,90.12,0.923
PGMMEAc,C6H12O3,プロピレングリコールモノメチルエーテルアセテート,1.3,132.16,0.996
α-ターピネン,ATRP,C10H16,0,136.23,0.84
アクリル酸メチル,C4H6O2,N/A,2.4,86.09,0.956
アセトン,C3H6O,N/A,2.15,58.08,0.789
イソプロピルアルコール,IPA,C3H8O,2,60.09,0.786
エチルアルコール,C2H5OH,エタノール,3.3,46.07,0.789
キシレン,C8H10,N/A,1,106.17,0.861
ジエチルカーボネート,C5H10O3,炭酸ジエチル,0,118.13,0.975
シクロヘキサノン,C6H10O,N/A,1.1,98.15,0.947
シクロヘキサン,C6H12,N/A,1.3,84.16,0.779
シクロペンタン,C5H10,N/A,1.4,70.1,0.746
ジクロロメタン,CH2Cl2,塩化メチレン,13,84.94,1.335
ジメチルカーボネート,C3H6O3,炭酸ジメチル,9.5,90.08,1.07
スチレン,C8H8,N/A,1.1,104.04,0.907
テトラヒドロフラン,THF,C4H8O,2,72.1,0.888
テトラフルオロエチルトリフルオロエチルエーテル,C4H3OF7,N/A,0,200.05,1.487
"トランス-1,2-ジクロロエチレン",C2H2Cl2,N/A,0,96.94,1.257
トリエチルアミン,TEA,C6H15N,1.2,101.19,0.725
トルエン,C7H8,N/A,1.2,92.14,0.866
ノルマルプロピルブロマイド,C3H7Br,ABZOL-JG,4,122.99,1.34
ノルマルヘキサン,n-C6H14,N/A,1.2,86.17,0.678
ベンゼン,C6H6,N/A,1.2,78.11,0.873
メチルアルコール,CH3OH,メタノール,5.5,32.04,0.791
メチルエチルケトン,MEK,C4H8O,1.8,72.12,0.805
メチルシクロヘキサン,C7H14,N/A,1.15,98.18,0.77
酸化プロピレン,PO,C3H6O,2.8,58.08,0.83
酢酸エチル,EtAc,C4H8O2,2.1,88.11,0.906
酢酸ブチル,C6H12O2,N/A,1.4,116.16,0.882
